Pokemon,Pokeball,HP%,Status,Noise,Catch_Rate,Weight,Type,Success_Rate,Avg_Capture_Probability,Std_Capture_Probability,Attempts
caterpie,pokeball,50,PARALYSIS,0.05,255,6.4,"BUG, NONE",1.0,0.97,0.045,30
caterpie,pokeball,50,PARALYSIS,0.1,255,6.4,"BUG, NONE",0.93,0.95,0.058,30
caterpie,pokeball,50,PARALYSIS,0.15,255,6.4,"BUG, NONE",0.9,0.94,0.076,30
caterpie,pokeball,50,SLEEP,0.0,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,50,SLEEP,0.05,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,50,SLEEP,0.1,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,50,SLEEP,0.15,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,60,NONE,0.0,255,6.4,"BUG, NONE",0.5,0.6,0.0,30
caterpie,pokeball,60,NONE,0.05,255,6.4,"BUG, NONE",0.53,0.59,0.032,30
caterpie,pokeball,60,NONE,0.1,255,6.4,"BUG, NONE",0.77,0.6,0.065,30
caterpie,pokeball,60,NONE,0.15,255,6.4,"BUG, NONE",0.63,0.61,0.083,30
caterpie,pokeball,60,PARALYSIS,0.0,255,6.4,"BUG, NONE",0.87,0.9,0.0,30
caterpie,pokeball,60,PARALYSIS,0.05,255,6.4,"BUG, NONE",0.9,0.9,0.043,30
caterpie,pokeball,60,PARALYSIS,0.1,255,6.4,"BUG, NONE",0.83,0.89,0.103,30
caterpie,pokeball,60,PARALYSIS,0.15,255,6.4,"BUG, NONE",0.97,0.88,0.107,30
caterpie,pokeball,60,SLEEP,0.0,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,60,SLEEP,0.05,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,60,SLEEP,0.1,255,6.4,"BUG, NONE",0.97,1.0,0.022,30
caterpie,pokeball,60,SLEEP,0.15,255,6.4,"BUG, NONE",1.0,0.99,0.027,30
caterpie,pokeball,70,NONE,0.0,255,6.4,"BUG, NONE",0.7,0.53,0.0,30
caterpie,pokeball,70,NONE,0.05,255,6.4,"BUG, NONE",0.4,0.54,0.029,30
caterpie,pokeball,70,NONE,0.1,255,6.4,"BUG, NONE",0.5,0.53,0.057,30
caterpie,pokeball,70,NONE,0.15,255,6.4,"BUG, NONE",0.57,0.54,0.096,30
caterpie,pokeball,70,PARALYSIS,0.0,255,6.4,"BUG, NONE",0.87,0.8,0.0,30
caterpie,pokeball,70,PARALYSIS,0.05,255,6.4,"BUG, NONE",0.8,0.8,0.031,30
caterpie,pokeball,70,PARALYSIS,0.1,255,6.4,"BUG, NONE",0.73,0.8,0.084,30
caterpie,pokeball,70,PARALYSIS,0.15,255,6.4,"BUG, NONE",0.8,0.82,0.102,30
caterpie,pokeball,70,SLEEP,0.0,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,70,SLEEP,0.05,255,6.4,"BUG, NONE",1.0,1.0,0.001,30
caterpie,pokeball,70,SLEEP,0.1,255,6.4,"BUG, NONE",1.0,0.99,0.021,30
caterpie,pokeball,70,SLEEP,0.15,255,6.4,"BUG, NONE",0.97,0.97,0.058,30
caterpie,pokeball,80,NONE,0.0,255,6.4,"BUG, NONE",0.4,0.46,0.0,30
caterpie,pokeball,80,NONE,0.05,255,6.4,"BUG, NONE",0.57,0.47,0.024,30
caterpie,pokeball,80,NONE,0.1,255,6.4,"BUG, NONE",0.4,0.46,0.039,30
caterpie,pokeball,80,NONE,0.15,255,6.4,"BUG, NONE",0.5,0.48,0.066,30
caterpie,pokeball,80,PARALYSIS,0.0,255,6.4,"BUG, NONE",0.67,0.7,0.0,30
caterpie,pokeball,80,PARALYSIS,0.05,255,6.4,"BUG, NONE",0.5,0.7,0.032,30
caterpie,pokeball,80,PARALYSIS,0.1,255,6.4,"BUG, NONE",0.7,0.71,0.057,30
caterpie,pokeball,80,PARALYSIS,0.15,255,6.4,"BUG, NONE",0.77,0.69,0.113,30
caterpie,pokeball,80,SLEEP,0.0,255,6.4,"BUG, NONE",0.9,0.93,0.0,30
caterpie,pokeball,80,SLEEP,0.05,255,6.4,"BUG, NONE",0.97,0.94,0.048,30
caterpie,pokeball,80,SLEEP,0.1,255,6.4,"BUG, NONE",1.0,0.93,0.071,30
caterpie,pokeball,80,SLEEP,0.15,255,6.4,"BUG, NONE",0.93,0.91,0.099,30
caterpie,pokeball,90,NONE,0.0,255,6.4,"BUG, NONE",0.57,0.4,0.0,30
caterpie,pokeball,90,NONE,0.05,255,6.4,"BUG, NONE",0.4,0.39,0.021,30
caterpie,pokeball,90,NONE,0.1,255,6.4,"BUG, NONE",0.3,0.41,0.042,30
caterpie,pokeball,90,NONE,0.15,255,6.4,"BUG, NONE",0.37,0.41,0.048,30
caterpie,pokeball,90,PARALYSIS,0.0,255,6.4,"BUG, NONE",0.5,0.6,0.0,30
caterpie,pokeball,90,PARALYSIS,0.05,255,6.4,"BUG, NONE",0.67,0.6,0.022,30
caterpie,pokeball,90,PARALYSIS,0.1,255,6.4,"BUG, NONE",0.57,0.62,0.053,30
caterpie,pokeball,90,PARALYSIS,0.15,255,6.4,"BUG, NONE",0.7,0.58,0.103,30
caterpie,pokeball,90,SLEEP,0.0,255,6.4,"BUG, NONE",0.7,0.8,0.0,30
caterpie,pokeball,90,SLEEP,0.05,255,6.4,"BUG, NONE",0.83,0.79,0.037,30
caterpie,pokeball,90,SLEEP,0.1,255,6.4,"BUG, NONE",0.87,0.78,0.081,30
caterpie,pokeball,90,SLEEP,0.15,255,6.4,"BUG, NONE",0.8,0.78,0.101,30
caterpie,pokeball,100,NONE,0.0,255,6.4,"BUG, NONE",0.33,0.33,0.0,30
caterpie,pokeball,100,NONE,0.05,255,6.4,"BUG, NONE",0.47,0.33,0.015,30
caterpie,pokeball,100,NONE,0.1,255,6.4,"BUG, NONE",0.47,0.33,0.03,30
caterpie,pokeball,100,NONE,0.15,255,6.4,"BUG, NONE",0.2,0.32,0.043,30
caterpie,pokeball,100,PARALYSIS,0.0,255,6.4,"BUG, NONE",0.5,0.5,0.0,30
caterpie,pokeball,100,PARALYSIS,0.05,255,6.4,"BUG, NONE",0.47,0.5,0.023,30
caterpie,pokeball,100,PARALYSIS,0.1,255,6.4,"BUG, NONE",0.5,0.5,0.049,30
caterpie,pokeball,100,PARALYSIS,0.15,255,6.4,"BUG, NONE",0.63,0.52,0.07,30
caterpie,pokeball,100,SLEEP,0.0,255,6.4,"BUG, NONE",0.57,0.66,0.0,30
caterpie,pokeball,100,SLEEP,0.05,255,6.4,"BUG, NONE",0.67,0.66,0.04,30
caterpie,pokeball,100,SLEEP,0.1,255,6.4,"BUG, NONE",0.67,0.67,0.069,30
caterpie,pokeball,100,SLEEP,0.15,255,6.4,"BUG, NONE",0.63,0.69,0.102,30
snorlax,pokeball,10,NONE,0.0,25,1014.1,"NORMAL, NONE",0.17,0.09,0.0,30
snorlax,pokeball,10,NONE,0.05,25,1014.1,"NORMAL, NONE",0.1,0.09,0.005,30
snorlax,pokeball,10,NONE,0.1,25,1014.1,"NORMAL, NONE",0.17,0.09,0.009,30
snorlax,pokeball,10,NONE,0.15,25,1014.1,"NORMAL, NONE",0.13,0.09,0.015,30
snorlax,pokeball,10,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.1,0.14,0.0,30
snorlax,pokeball,10,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.1,0.14,0.006,30
